date,fear_greed_score,sentiment_label,returns
2024-10-17,71,Greed,-0.015442161890023787
2024-10-18,73,Greed,-0.02664075536613042
2024-10-19,72,Greed,0.022018710565502753
2024-10-20,73,Greed,0.002499504674573272
2024-10-21,72,Greed,0.037060539152889316
2024-10-22,70,Greed,-0.00974259625800733
2024-10-23,71,Greed,0.007692975411729863
2024-10-24,69,Greed,-0.0380284735451103
2024-10-25,72,Greed,-0.01016342752079491
2024-10-27,74,Greed,0.028067966488795504
2024-10-28,72,Greed,0.019467294470609575
2024-10-29,72,Greed,0.012435226279467138
2024-10-30,77,Extreme Greed,0.03509762089835067
2024-10-31,77,Extreme Greed,-0.0025163455194591178
2024-11-01,75,Greed,-0.037584507362399155
2024-11-02,72,Greed,0.045205325823459486
2024-11-03,74,Greed,-0.026398135541844447
2024-11-04,70,Greed,-0.03768033456782227
2024-11-05,70,Greed,-0.0260848361628907
2024-11-06,70,Greed,0.023038212677014558
2024-11-07,77,Extreme Greed,0.08915501707431872
2024-11-08,75,Greed,0.11228808439611937
2024-11-09,75,Greed,0.09935460823671982
2024-11-10,78,Extreme Greed,0.09787664809118635
2024-11-11,76,Extreme Greed,0.20805186997068126
2024-11-12,80,Extreme Greed,0.04390377995248884
2024-11-13,84,Extreme Greed,-0.06259684118348374
2024-11-14,88,Extreme Greed,0.004940465590731025
2024-11-15,80,Extreme Greed,0.0022007088027728994
2024-11-16,86,Extreme Greed,0.20127824460943655
2024-11-17,90,Extreme Greed,0.057298006047860506
2024-11-18,83,Extreme Greed,-0.047229954968871835
2024-11-19,90,Extreme Greed,0.04870786094196511
2024-11-20,83,Extreme Greed,0.0034639061416343875
2024-11-21,82,Extreme Greed,0.08674840995963251
2024-11-22,94,Extreme Greed,0.018885313756251687
2024-11-23,93,Extreme Greed,0.22764379305163085
2024-11-24,80,Extreme Greed,0.05853504566932832
2024-11-25,82,Extreme Greed,-0.035086253190435235
2024-11-26,79,Extreme Greed,-0.07759305760795587
2024-11-27,75,Greed,0.013134909702058106
2024-11-28,77,Extreme Greed,0.05692971668667002
2024-11-29,78,Extreme Greed,0.01883918342921409
2024-11-30,84,Extreme Greed,0.04569701098485779
2024-12-01,81,Extreme Greed,-0.0001298898615840205
2024-12-02,80,Extreme Greed,0.0634144104441805
2024-12-03,76,Extreme Greed,0.04500045562482735
2024-12-04,78,Extreme Greed,0.0012138728768031903
2024-12-05,84,Extreme Greed,-0.013954148197394156
2024-12-06,72,Greed,-0.015170796844757972
2024-12-07,75,Greed,0.05720989378574681
2024-12-08,79,Extreme Greed,-0.015051324644077102
2024-12-09,78,Extreme Greed,-0.013569966542229861
2024-12-10,78,Extreme Greed,-0.15881525699222276
2024-12-11,74,Greed,0.008838021670448004
2024-12-12,83,Extreme Greed,0.07015184905471794
2024-12-13,76,Extreme Greed,0.0323542605614926
2024-12-14,83,Extreme Greed,-0.005699857397121866
2024-12-15,80,Extreme Greed,-0.05070727008370712
2024-12-16,83,Extreme Greed,0.04323559783800168
2024-12-17,87,Extreme Greed,-0.022998922250937137
2024-12-18,81,Extreme Greed,-0.02873694651632508
2024-12-19,75,Greed,-0.07666880674366416
2024-12-20,74,Greed,-0.08602995219329823
2024-12-21,73,Greed,0.07337793108342949
2024-12-22,73,Greed,-0.04834253624202134
2024-12-23,70,Greed,-0.02416852908979339
2024-12-24,73,Greed,0.04540082532267675
2024-12-25,73,Greed,0.015149524649214374
2024-12-26,79,Extreme Greed,-0.02145989716516805
2024-12-27,74,Greed,-0.06262286286267538
2024-12-28,72,Greed,0.017255042935719
2024-12-29,73,Greed,0.01534620531970976
2024-12-30,65,Greed,-0.03204398133905095
2024-12-31,64,Greed,-1.4850452056847097e-05
2025-01-01,66,Greed,-0.017307695258597766
2025-01-02,70,Greed,0.08350179856078688
2025-01-03,74,Greed,0.05147782071552154
2025-01-04,73,Greed,0.1337409201970008
2025-01-05,72,Greed,-0.017025463773866822
2025-01-06,76,Extreme Greed,0.020576342426339655
2025-01-07,78,Extreme Greed,0.00015615521388889775
2025-01-08,70,Greed,-0.09213821494205665
2025-01-09,69,Greed,-0.04574008111133776
2025-01-10,50,Neutral,-0.044141088619545465
2025-01-11,69,Greed,0.028268717344476224
2025-01-12,62,Greed,0.0691934624359829
2025-01-13,61,Greed,-0.02705442859611451
2025-01-14,63,Greed,-0.024892990693768602
2025-01-15,70,Greed,0.0522299057598854
2025-01-16,75,Greed,0.09056476238892452
2025-01-17,75,Greed,0.005706946788468947
2025-01-18,77,Extreme Greed,0.042435982038497855
2025-01-19,77,Extreme Greed,-0.031683494820901936
2025-01-20,76,Extreme Greed,-0.0991416458947505
2025-01-21,76,Extreme Greed,0.015161802979642536
2025-01-22,84,Extreme Greed,-0.0021743051865096286
2025-01-23,75,Greed,-0.024268292812836045
2025-01-24,75,Greed,0.007940577246546399
2025-01-25,75,Greed,-0.01666440848353512
2025-01-26,73,Greed,0.006206391961018909
2025-01-27,71,Greed,-0.023957662351782982
2025-01-28,72,Greed,-0.02202253556059297
2025-01-29,72,Greed,-0.01814120836402422
2025-01-30,70,Greed,0.0277185350856608
2025-01-31,76,Extreme Greed,0.02053437666388236
2025-02-01,68,Greed,-0.019186543242049603
2025-02-02,60,Greed,-0.046966929280457426
2025-02-03,44,Fear,-0.11150111180215516
2025-02-04,72,Greed,0.014308378923803877
2025-02-05,54,Neutral,-0.07727358512640947
2025-02-06,49,Neutral,-0.01834613106401528
2025-02-07,44,Fear,-0.039937462705576965
2025-02-08,44,Fear,0.004089298385717699
2025-02-09,46,Fear,-0.006623455453274585
2025-02-10,43,Fear,-0.027443116141573687
2025-02-11,47,Neutral,0.03862884063504146
2025-02-12,46,Fear,0.09951658447461154
2025-02-13,50,Neutral,0.02321012411945067
2025-02-14,48,Neutral,0.015389724900117807
2025-02-15,50,Neutral,-0.0115274800724815
2025-02-16,54,Neutral,-0.024269131891724083
2025-02-17,51,Neutral,-0.012960059289072179
2025-02-18,47,Neutral,0.04658970514598315
2025-02-19,44,Fear,-0.06668003593245042
2025-02-20,49,Neutral,0.024681552127160833
2025-02-21,55,Greed,0.04243953497551156
