coin,avg_return,volatility,avg_sentiment,cluster
bitcoin,0.0017036074030276436,0.02614276357832191,55.05,0
ethereum,7.052275367826827e-06,0.03867080414460753,55.05,0
solana,0.0013408641710643877,0.04559721542641624,55.05,0
cardano,0.003151735551130815,0.06168950648730864,55.05,1
