date,fear_greed_score,sentiment_label,returns
2024-10-17,71,Greed,0.010234490482304848
2024-10-18,73,Greed,-0.004722106052239328
2024-10-19,72,Greed,0.016895083146856615
2024-10-20,73,Greed,-0.0011209701734079536
2024-10-21,72,Greed,0.008392562707655538
2024-10-22,70,Greed,-0.022736471831771854
2024-10-23,71,Greed,-0.0006500469574240997
2024-10-24,69,Greed,-0.009904521015685952
2024-10-25,72,Greed,0.02294530500419234
2024-10-27,74,Greed,0.006495386953124127
2024-10-28,72,Greed,0.013733427520678854
2024-10-29,72,Greed,0.02806580779885004
2024-10-30,77,Extreme Greed,0.04203301238528079
2024-10-31,77,Extreme Greed,-0.00602479615569973
2024-11-01,75,Greed,-0.028719229499849952
2024-11-02,72,Greed,-0.010774565150034165
2024-11-03,74,Greed,-0.003003430245958727
2024-11-04,70,Greed,-0.00715238253385142
2024-11-05,70,Greed,-0.014682513880453385
2024-11-06,70,Greed,0.02274749501380202
2024-11-07,77,Extreme Greed,0.09065294530360246
2024-11-08,75,Greed,0.004844636615834119
2024-11-09,75,Greed,0.007406238049277425
2024-11-10,78,Extreme Greed,0.0010477453584205598
2024-11-11,76,Extreme Greed,0.05006497329726711
2024-11-12,80,Extreme Greed,0.10154140501042619
2024-11-13,84,Extreme Greed,-0.004206127134415483
2024-11-14,88,Extreme Greed,0.025191303597959402
2024-11-15,80,Extreme Greed,-0.03404411558342624
2024-11-16,86,Extreme Greed,0.04050524087082241
2024-11-17,90,Extreme Greed,-0.00375511604601797
2024-11-18,83,Extreme Greed,-0.008442918921754639
2024-11-19,90,Extreme Greed,0.007715286049680525
2024-11-20,83,Extreme Greed,0.01896542696822001
2024-11-21,82,Extreme Greed,0.02130444103353124
2024-11-22,94,Extreme Greed,0.04555542289568759
2024-11-23,93,Extreme Greed,0.0042470825086420305
2024-11-24,80,Extreme Greed,-0.012615614393054253
2024-11-25,82,Extreme Greed,0.0034446515098385255
2024-11-26,79,Extreme Greed,-0.05112673333034723
2024-11-27,75,Greed,-0.011535655159089053
2024-11-28,77,Extreme Greed,0.04404730945900237
2024-11-29,78,Extreme Greed,-0.003329659127156104
2024-11-30,84,Extreme Greed,0.01872905599138197
2024-12-01,81,Extreme Greed,-0.009646728290057305
2024-12-02,80,Extreme Greed,0.008274156497671825
2024-12-03,76,Extreme Greed,-0.01519417348117258
2024-12-04,78,Extreme Greed,0.0020712537997855662
2024-12-05,84,Extreme Greed,0.029676039546269628
2024-12-06,72,Greed,-0.016989726197883415
2024-12-07,75,Greed,0.028521690839511393
2024-12-08,79,Extreme Greed,-0.0019207173848239112
2024-12-09,78,Extreme Greed,0.014567198363335976
2024-12-10,78,Extreme Greed,-0.03834059804440526
2024-12-11,74,Greed,-0.007233733835508183
2024-12-12,83,Extreme Greed,0.046289879564166636
2024-12-13,76,Extreme Greed,-0.011103338329527479
2024-12-14,83,Extreme Greed,0.013514104232373647
2024-12-15,80,Extreme Greed,0.00014583727119332757
2024-12-16,83,Extreme Greed,0.03309253031330206
2024-12-17,87,Extreme Greed,0.012916217755799098
2024-12-18,81,Extreme Greed,-0.00036949481629566794
2024-12-19,75,Greed,-0.05356101186152562
2024-12-20,74,Greed,-0.024953495097224998
2024-12-21,73,Greed,-0.0016343100802281851
2024-12-22,73,Greed,-0.005001557729872985
2024-12-23,70,Greed,-0.02169228127411338
2024-12-24,73,Greed,-0.004725448497785556
2024-12-25,73,Greed,0.042800010234085084
2024-12-26,79,Extreme Greed,0.0065782002022376496
2024-12-27,74,Greed,-0.03690818279112906
2024-12-28,72,Greed,-0.01407179057310426
2024-12-29,73,Greed,0.009039060541281119
2024-12-30,65,Greed,-0.015981278719071623
2024-12-31,64,Greed,-0.011062644136504263
