date,returns,volatility
2024-06-16,0.5275206775816876,3.51127831522725
2024-06-17,0.5950416390455886,3.4742978365812025
2024-06-18,-3.558990236261849,3.4441715605869723
2024-06-19,-4.564516357188849,3.681859475040577
2024-06-20,-0.11115883599254874,4.0197518670221095
2024-06-21,0.18022282622852917,3.9075050503473556
2024-06-22,-2.123888102104888,3.809837152163812
2024-06-23,2.3089933598451178,3.8195151186615055
2024-06-24,-1.300604396704336,3.82318115355923
2024-06-25,-0.52097892092565,3.7749940544230602
2024-06-26,3.673803343450331,3.703735261083462
2024-06-27,-1.8723691696396765,3.871223076528667
2024-06-28,1.5284052004056086,3.8515965878079395
2024-06-29,-1.3827039733504976,3.798538881780747
2024-06-30,-0.49927459024706233,3.7585443299821746
2024-07-01,2.2656642970654475,3.6891480644106602
2024-07-02,2.697089795955902,3.710637210006375
2024-07-03,3.5728039601703703,3.7667505786950906
2024-07-04,-2.640502660081733,3.909228275844436
2024-07-05,-11.28111674566126,3.9491226453400676
2024-07-06,-3.7367187992023263,5.748113312969853
2024-07-07,5.8744910380643605,5.614074255456906
2024-07-08,-7.004454053551087,5.727253629237121
2024-07-09,6.424640490871904,6.029557611466198
2024-07-10,1.725006380889164,6.14760466531703
2024-07-11,3.5686503133553407,5.812005874978198
2024-07-12,1.7408781822023804,5.632002499883979
2024-07-13,5.01194927191436,5.356252970930962
2024-07-14,5.758421020794724,5.397984519024374
2024-07-15,-1.8633540618306896,5.533417321170337
2024-07-16,2.9720372176008776,5.286675301897041
2024-07-17,-1.683816808404292,5.12820086424699
2024-07-18,-0.31922294513299154,4.922170344544732
2024-07-19,-2.997118521023438,4.696832936617307
2024-07-20,3.4242230403666483,4.645249889824408
2024-07-21,-0.1899926754967772,4.619843960164515
2024-07-22,1.9394089140546398,4.430082319145652
2024-07-23,-4.592513518589376,4.316923735635513
2024-07-24,-3.8521375764679537,4.523099880297857
2024-07-25,-0.8835061354929561,4.591858698034222
2024-07-26,-3.0056120055776683,4.420085999701312
2024-07-27,5.659185327976864,4.412294250926759
2024-07-28,0.21697626031480544,4.7273302323825215
2024-07-29,-2.6843330555881857,4.522902589036078
2024-07-30,-0.8693770130703685,4.469059898914837
2024-07-31,-0.6015063311450556,4.312704247969672
2024-08-01,-3.232465573033149,4.169261901407164
2024-08-02,0.9088674781314252,4.226893837620208
2024-08-03,-7.482731510608985,4.096599645359999
2024-08-04,0.005232167772039816,4.888833344725041
2024-08-05,-5.814584111363262,4.6648181763590815
2024-08-06,-8.934536773823986,4.990771731437165
2024-08-07,5.022303133343674,5.840869391292859
2024-08-08,-1.981204535140366,5.805722526030507
2024-08-09,8.356680680164278,5.532434230031053
2024-08-10,-1.132577954598638,6.075729037476948
2024-08-11,-0.6594656626737864,5.735898886574944
2024-08-12,-5.228389513787989,5.421893153111333
2024-08-13,3.2189045739441418,5.512513292837577
2024-08-14,0.4248417215699358,5.343362665043689
2024-08-15,-1.4997306394485448,5.067038671846591
2024-08-16,-2.9844890952919485,4.859625349993961
2024-08-17,1.3654026042877707,4.7825645773031775
2024-08-18,2.0695848762583777,4.594998059024393
2024-08-19,-0.7557158327661492,4.466970719975598
2024-08-20,0.7977777534026476,4.3074340935889746
2024-08-21,1.9555444492986427,4.163663889658053
2024-08-22,7.165654107457299,4.089335143064647
2024-08-23,1.9969413761903008,4.76504447772857
2024-08-24,3.7217719082316023,4.6098317440935395
2024-08-25,0.9542956111416296,4.621300734824429
2024-08-26,-2.5891689863943865,4.440859214361264
2024-08-27,-4.698530694442672,4.39108619814262
2024-08-28,-4.659609347751404,4.5980755251648455
2024-08-29,0.022213691850531275,4.759345607722505
2024-08-30,1.6948231071455684,4.550994569148944
2024-08-31,-2.5436652971882947,4.408013768277926
2024-09-01,-0.6052440715749875,4.359287874733268
2024-09-02,-3.907473845621344,4.2098136793944425
2024-09-03,1.110927867497777,4.341804363999357
2024-09-04,-5.150470578418047,4.202258264461654
2024-09-05,1.3802433827842084,4.518932160243243
2024-09-06,0.625777124257003,4.365922919011957
2024-09-07,-3.2777057507990883,4.211085466163066
2024-09-08,3.169294210017633,4.266574557561434
2024-09-09,4.025813112317564,4.275904360701072
2024-09-10,1.5218810069634077,4.380273737185041
2024-09-11,0.04155478394357543,4.251901382805745
2024-09-12,2.6592183107928204,4.107737776508299
2024-09-13,0.9547482080691253,4.094722226516626
2024-09-14,1.313615472029598,3.983658456194805
2024-09-15,-1.8240765862907946,3.901127279259332
2024-09-16,-4.509048076154534,3.8733918051774334
2024-09-17,-2.5753631603700278,4.1593627278581575
2024-09-18,1.1645850393831627,4.152039928511144
2024-09-19,2.4999195137198322,4.040001691267573
2024-09-20,2.4069356248415525,4.024119482402028
2024-09-21,0.32914413986101343,4.003137882865883
2024-09-22,1.8854607851699228,3.8929928774693066
2024-09-23,-1.9748061278130624,3.854491193732073
2024-09-24,3.370509150808574,3.845139533129576
2024-09-25,6.424764703863381,3.9487212115624697
2024-09-26,-1.8523963973254995,4.5131068109451355
2024-09-27,5.380568201876674,4.397753005406511
2024-09-28,0.12857966448156458,4.670931280678651
2024-09-29,-0.2619471901824535,4.473309295017161
2024-09-30,-0.9427835861615105,4.302832910727732
2024-10-01,-6.447288344663606,4.170954431668132
2024-10-02,-5.584609297414049,4.728251479668082
2024-10-03,-2.483507691093087,5.003198018908559
2024-10-04,0.2918067096836689,4.864132293543117
2024-10-05,1.9862089070773554,4.643345774176385
2024-10-06,-0.23756105570710845,4.503775613140492
2024-10-07,1.797227732655105,4.3291302910447
