date,returns,volatility
2024-06-16,0.2714171506970797,2.2473778739545285
2024-06-17,0.6401091856234126,2.2119211320625265
2024-06-18,-0.23317352167839975,2.189451619639156
2024-06-19,-2.053849208803407,2.1712788017799074
2024-06-20,-0.31109980611168686,2.2522635544158476
2024-06-21,-0.0961839742506631,2.2198867634273993
2024-06-22,-1.1993198798203577,2.19233178181518
2024-06-23,0.2622980223571624,2.2074845263803318
2024-06-24,-1.5982389910012447,2.1818054568068606
2024-06-25,-4.626195021296385,2.224402855455605
2024-06-26,2.3044282714664357,2.612330368590619
2024-06-27,-1.6659136386196725,2.5710872083255585
2024-06-28,1.3289906067997415,2.5189588314462887
2024-06-29,-2.0439684003715266,2.4438734019623047
2024-06-30,0.9033552536546441,2.450389908438667
2024-07-01,3.026069524665932,2.3766322675278895
2024-07-02,0.13608215732571607,2.4599947664957194
2024-07-03,-1.2449982553857435,2.374024000229719
2024-07-04,-2.940639994155272,2.345433873586447
2024-07-05,-5.204966549590381,2.463912401236385
2024-07-06,-0.7887604677562436,2.8589980789691234
2024-07-07,2.593198809911748,2.700722350009053
2024-07-08,-4.119574839609616,2.659896801009326
2024-07-09,1.3945967853907097,2.82908755261514
2024-07-10,2.3082106837240186,2.6869370407546054
2024-07-11,-0.49113258760344725,2.6279101961048847
2024-07-12,-0.54914245215018,2.511776668879221
2024-07-13,0.8866527749412816,2.4232448234852964
2024-07-14,2.1417455617178676,2.3553918894513566
2024-07-15,2.9805410476767453,2.3670154629426103
2024-07-16,6.192516443318526,2.4484793437953796
2024-07-17,0.5026968044789393,2.9615554242645934
2024-07-18,-1.5869380412079817,2.769107115996102
2024-07-19,-0.27595726535655407,2.6658505725543584
2024-07-20,4.179710161652692,2.537259712562986
2024-07-21,0.7715240960845735,2.7078016721642033
2024-07-22,1.3039549734998288,2.5729921042303165
2024-07-23,-0.7080961717449139,2.4843671305337405
2024-07-24,-2.4940181516580546,2.406736762310905
2024-07-25,-0.8205587580049861,2.4621520949657496
2024-07-26,0.5282806763194035,2.393527326279236
2024-07-27,3.2475789468513607,2.3253997193539795
2024-07-28,0.19872954301008525,2.4469490359590065
2024-07-29,0.27416344067142734,2.363979678435615
2024-07-30,-2.180515286413285,2.300542638599617
2024-07-31,-0.8290482811632487,2.3565120459705184
2024-08-01,-2.3519588949385515,2.313417198044181
2024-08-02,1.042404071258395,2.3812354098534727
2024-08-03,-6.234400624814867,2.3279894863268296
2024-08-04,-1.0946850556123642,2.9579683844514997
2024-08-05,-4.603178139641894,2.789501095029144
2024-08-06,-7.237626246821207,2.9852991515399774
2024-08-07,3.6460557331958987,3.543752670123497
