coin,avg_return,volatility,avg_sentiment,cluster,norm_avg_return,norm_volatility,norm_avg_sentiment,ranking_score
bitcoin,0.0017036074030276,0.0261427635783219,55.05,0.0,0.5394995231270626,0.0,0.0,0.21579980925082506
cardano,0.0031517355511308,0.0616895064873086,55.05,1.0,0.9999999999999999,1.0,0.0,0.09999999999999998
solana,0.0013408641710643,0.0455972154264162,55.05,0.0,0.4241482460178313,0.5472921076877609,0.0,0.005471666100804268
ethereum,7.052275367826827e-06,0.0386708041446075,55.05,0.0,0.0,0.3524384948112459,0.0,-0.10573154844337376
