timestamp,cardano_price
2024-06-15,0.41154227146274974
2024-06-16,0.4137189782832436
2024-06-17,0.4161881173900786
2024-06-18,0.4016365041157662
2024-06-19,0.3837158471850039
2024-06-20,0.3832895500930921
2024-06-21,0.38398094819436795
2024-06-22,0.37591161762785413
2024-06-23,0.38469237535960454
2024-06-24,0.3797214455498969
2024-06-25,0.3777483211044308
2024-06-26,0.39188412245777754
2024-06-27,0.38461487094813124
2024-06-28,0.3905384978339942
2024-06-29,0.38517566797940805
2024-06-30,0.3832573764971923
2024-07-01,0.3920398166651658
2024-07-02,0.40275736381144805
2024-07-03,0.4174072422349273
2024-07-04,0.40652983402009474
2024-07-05,0.3631609597452494
2024-07-06,0.34984106917033775
2024-07-07,0.3710080919850898
2024-07-08,0.34591024473133264
2024-07-09,0.3688631610584225
2024-07-10,0.37528127138025436
2024-07-11,0.38891558112552815
2024-07-12,0.39574540458824514
2024-07-13,0.41608542157525613
2024-07-14,0.44074866384060085
2024-07-15,0.4326119985772805
2024-07-16,0.44566235835597195
2024-07-17,0.4382210455104808
2024-07-18,0.43682437381711153
2024-07-19,0.4239264776922808
2024-07-20,0.4386940603749627
2024-07-21,0.4378613650729356
2024-07-22,0.44643616890440546
2024-07-23,0.4263971956952668
2024-07-24,0.4102841302793787
2024-07-25,0.40667521080338637
2024-07-26,0.39463399442581204
2024-07-27,0.41761108979349737
2024-07-28,0.4185181904594663
2024-07-29,0.40743321280108274
2024-07-30,0.4039064348172
2024-07-31,0.40148420427811593
2024-08-01,0.3887138757692571
2024-08-02,0.3922628731806598
2024-08-03,0.36398217431836266
2024-08-04,0.3640012189746031
2024-08-05,0.34343963988017445
2024-08-06,0.3140857405185116
2024-08-07,0.3302629115550006
2024-08-08,0.3237841187601061
2024-08-09,0.35200444395630276
2024-08-10,0.3480402106166277
2024-08-11,0.34575255637315994
2024-08-12,0.32813971205626685
2024-08-13,0.3388740535248943
2024-08-14,0.34031679440042234
2024-08-15,0.3352510404441318
2024-08-16,0.3253933423536698
2024-08-17,0.3298667419831867
2024-08-18,0.3367647480219364
2024-08-19,0.3342293557488534
2024-08-20,0.336906427537455
2024-08-21,0.3435596235608906
2024-08-22,0.3690813993917752
2024-08-23,0.3765258215538865
2024-08-24,0.39080329326451874
2024-08-25,0.3945505635201381
2024-08-26,0.3844660979829369
2024-08-27,0.366819648548151
2024-08-28,0.35011939081844257
2024-08-29,0.3501971738999551
2024-08-30,0.35618297763544304
2024-08-31,0.34723713334944367
2024-09-01,0.3451418483757914
2024-09-02,0.33191560964421096
2024-09-03,0.33562351056617523
2024-09-04,0.31877493525930306
2024-09-05,0.3232053098506349
2024-09-06,0.32523419627675226
2024-09-07,0.31474678840666026
2024-09-08,0.32488179592925853
2024-09-09,0.33822776938877436
2024-09-10,0.34341456186619745
2024-09-11,0.3435572966999336
2024-09-12,0.35281579145123115
2024-09-13,0.35620042555429854
2024-09-14,0.3609103971852186
2024-09-15,0.3543867937736658
2024-09-16,0.33876222959128865
2024-09-17,0.33014925564876596
2024-09-18,0.3340166000355435
2024-09-19,0.34247199487952307
2024-09-20,0.35081507887779906
2024-09-21,0.35197166853103945
2024-09-22,0.3586709136742786
2024-09-23,0.35165733867823534
2024-09-24,0.36371199186671
2024-09-25,0.3878466270439855
2024-09-26,0.3807283034282415
2024-09-27,0.40177478222264984
2024-09-28,0.4022917151536981
2024-09-29,0.4012393022942459
2024-09-30,0.3974742599990274
2024-10-01,0.37265657826365545
2024-10-02,0.35241561406062927
2024-10-03,0.34377113266904974
2024-10-04,0.3447757449502893
2024-10-05,0.35169217146819426
2024-10-06,0.35085767943930835
2024-10-07,0.35722039594548466
2024-10-08,0.35134274283380784
2024-10-09,0.3446503186237537
2024-10-10,0.3397857069963388
2024-10-11,0.33856687446150163
2024-10-12,0.3511153738504752
2024-10-13,0.35324078265088743
2024-10-14,0.3478700854188225
2024-10-15,0.36343770186385754
2024-10-16,0.3580945584980384
2024-10-17,0.35256480435377513
2024-10-18,0.34317221165027856
2024-10-19,0.3507284212527294
2024-10-20,0.3516050685811563
2024-10-21,0.3646357419916626
2024-10-22,0.36108324317619894
2024-10-23,0.36386104768754113
2024-10-24,0.3500239674614593
2024-10-25,0.3464665242376237
2024-10-26,0.32397272855370024
2024-10-27,0.3330659842420291
2024-10-28,0.3395498778354121
2024-10-29,0.3437722573994608
2024-10-30,0.35583784576503735
2024-10-31,0.35494243479619253
2024-11-01,0.34160209824236715
2024-11-02,0.3570443323953907
2024-11-03,0.34761902771436987
2024-11-04,0.3345206264479513
2024-11-05,0.32579471071394894
2024-11-06,0.3333004385484233
2024-11-07,0.3630158448380859
2024-11-08,0.4037781986603935
2024-11-09,0.44389542340282534
2024-11-10,0.4873424195485118
2024-11-11,0.588734921251616
2024-11-12,0.6145826096845928
2024-11-13,0.5761116796720354
2024-11-14,0.5789579396018733
2024-11-15,0.5802320574359904
2024-11-16,0.6970201474228283
2024-11-17,0.7369580120453421
2024-11-18,0.7021515183224912
2024-11-19,0.7363518168371328
2024-11-20,0.7389024704178786
2024-11-21,0.803001084841874
2024-11-22,0.8181660122757234
2024-11-23,1.0044164266560962
2024-11-24,1.0632099880614343
2024-11-25,1.0259059332257112
2024-11-26,0.9463027550485847
2024-11-27,0.9587323562869567
2024-11-28,1.013312717708717
2024-11-29,1.032402701868787
2024-11-30,1.0795804194768817
2024-12-01,1.079440192925627
2024-12-02,1.147892256369758
2024-12-03,1.1995479309146082
2024-12-04,1.201004029612371
2024-12-05,1.1842450413974923
2024-12-06,1.166279100460039
